Personaje,tokens,types,TTR,hapax,hapax_pct,avg_lemma_len,top20
CJ (Carl Johnson),5198,1198,0.2305,625,0.5217,5.44,man;get;cj;hey;go;yeah;shit;oh;screen;see;know;take;look;smoke;woozie;come;car;sweet;let;back
SWEET,1333,450,0.3376,236,0.5244,5.06,cj;get;sweet;go;man;shit;hood;back;ballas;car;let;house;like;homie;know;pull;yeah;see;grove;street
TORENO,937,485,0.5176,322,0.6639,5.47,get;cj;go;need;carl;toreno;ok;take;little;kid;guy;plane;outside;like;one;come;screen;make;watch;think
Woozie (Wu Zi Mu),918,496,0.5403,323,0.6512,5.33,cj;get;go;woozie;screen;one;carl;take;come;casino;know;ok;look;enter;friend;good;people;oh;open;triad
CESAR,825,392,0.4752,262,0.6684,4.96,cj;get;holme;go;cesar;car;man;eh;back;hey;look;garage;one;homie;come;know;fuck;good;ok;carl
TENPENNY,818,414,0.5061,281,0.6787,5.11,carl;get;cj;go;tenpenny;yeah;know;man;oh;officer;time;pulaski;fuck;hey;take;come;let;shit;like;run
Big Smoke,805,318,0.395,203,0.6384,4.99,smoke;big;cj;man;get;hey;shit;go;sweet;baby;know;yeah;glass;look;shoot;bottle;fuck;fool;take;back
Ryder,687,289,0.4207,178,0.6159,5.0,cj;man;get;ryder;fool;shit;homie;go;hey;yeah;grove;sweet;drive;street;damn;tell;back;look;house;smoke
The Truth,640,348,0.5437,244,0.7011,5.05,man;get;cj;go;truth;jethro;know;carl;friend;dude;pull;see;peace;outside;van;well;think;back;everything;look
OG Loc,543,251,0.4622,158,0.6295,4.98,man;loc;get;og;cj;hey;homie;go;dogg;fucker;real;madd;mother;gangsta;yeah;rap;shit;like;party;rhyme
Zero,459,306,0.6667,233,0.7614,5.51,cj;berkley;zero;get;carl;never;man;fight;two;police;leave;back;go;screen;ha;well;heist;good;yes;shall
