lemma,count
smoke,37
big,36
cj,34
man,29
get,20
hey,19
shit,19
go,13
sweet,12
baby,11
know,10
yeah,9
glass,9
look,8
shoot,8
bottle,8
fuck,8
fool,7
take,6
back,6
house,6
carl,6
little,6
want,6
right,6
think,6
come,6
real,5
enter,5
ryder,5
number,5
let,5
mother,5
fucker,5
another,5
drive,5
motorbike,5
walk,4
hell,4
cold,4
still,4
whassup,4
emmet,4
see,4
old,4
good,4
outside,4
pull,4
tenpenny,4
oh,4
watch,3
ha,3
whole,3
keep,3
eat,3
one,3
ride,3
around,3
remember,3
something,3
leave,3
ese,3
jump,3
building,3
talk,3
dog,3
truck,3
car,3
give,3
yard,2
homie,2
money,2
say,2
hungry,2
alone,2
try,2
strength,2
two,2
large,2
food,2
need,2
crib,2
gimme,2
thank,2
game,2
huh,2
gun,2
die,2
three,2
ass,2
ice,2
damn,2
guess,2
crazy,2
dude,2
wanna,2
loc,2
deal,2
tell,2
yo,2
cousin,2
el,2
blow,2
name,2
run,2
inside,2
put,2
cut,2
well,2
downtown,2
start,2
onto,2
police,2
board,2
world,2
ah,1
bam,1
later,1
spread,1
hood,1
knock,1
hustle,1
naïve,1
friend,1
focus,1
respect,1
earn,1
like,1
live,1
bread,1
thin,1
tacos,1
chicken,1
discussion,1
extra,1
dip,1
cheese,1
soda,1
stand,1
unlike,1
never,1
trash,1
pass,1
grove,1
gettin,1
nah,1
miss,1
mean,1
tor,1
moms,1
smokey,1
relax,1
play,1
dice,1
seville,1
boulevard,1
families,1
close,1
day,1
nonetheless,1
strap,1
accidentally,1
fire,1
sir,1
people,1
prepare,1
balla,1
ever,1
roll,1
cap,1
choose,1
killer,1
within,1
brother,1
liberty,1
soften,1
none,1
split,1
tired,1
drop,1
beer,1
notice,1
vice,1
versa,1
prison,1
hard,1
serious,1
og,1
chill,1
jeffrey,1
uh,1
college,1
casanova,1
nosey,1
homeboy,1
gang,1
important,1
represent,1
town,1
mexico,1
got,1
scoop,1
ok,1
mary,1
sticky,1
bud,1
fresh,1
plantation,1
talking,1
excuse,1
jose,1
soy,1
grando,1
smokio,1
grass,1
comprende,1
nice,1
coughio,1
weedo,1
brain,1
patio,1
stick,1
stop,1
build,1
pulaski,1
garage,1
aw,1
nose,1
everything,1
without,1
interest,1
deep,1
mention,1
might,1
deeply,1
vagos,1
cat,1
meet,1
san,1
fierro,1
rifa,1
kind,1
clock,1
four,1
top,1
train,1
station,1
clear,1
chillin,1
hear,1
pop,1
blasting,1
time,1
return,1
favour,1
burst,1
barrier,1
bridge,1
land,1
behind,1
ramp,1
explode,1
bring,1
halt,1
park,1
block,1
dump,1
much,1
love,1
dig,1
garden,1
bitch,1
bad,1
playa,1
handle,1
jefferson,1
motel,1
feelin,1
expose,1
chopper,1
fly,1
outta,1
brake,1
slam,1
advertising,1
motorway,1
crash,1
edge,1
story,1
passin,1
blunt,1
wonder,1
show,1
computer,1
pad,1
proceed,1
inhale,1
drug,1
polish,1
lap,1
regret,1
begin,1
short,1
make,1
success,1
touch,1
care,1
sit,1
wall,1
cough,1
bleeding,1
crouch,1
next,1
catch,1
power,1
choice,1
opportunity,1
everyone,1
